Year?,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1989,Los Angeles Dodgers,NL West,160,77,83,0,0.481,0.515,4th of 6,14,,554,536,2944653,29.8,28.5,40,18,O.Hershiser (7.3),T.Lasorda (77-83)
1990,Los Angeles Dodgers,NL West,162,86,76,0,0.531,0.528,2nd of 6,5,,728,685,3002396,29.7,28.2,46,21,E.Murray (5.2),T.Lasorda (86-76)
1991,Los Angeles Dodgers,NL West,162,93,69,0,0.574,0.574,2nd of 6,1,,665,565,3348170,30.2,30.2,39,16,B.Butler (5.1),T.Lasorda (93-69)
1992,Los Angeles Dodgers,NL West,162,63,99,0,0.389,0.432,6th of 6,35,,548,636,2473266,28.4,31.4,36,14,B.Butler (4.9),T.Lasorda (63-99)
1993,Los Angeles Dodgers,NL West,162,81,81,0,0.5,0.509,4th of 7,23,,675,662,3170393,28.9,29.3,35,15,M.Piazza (7.0),T.Lasorda (81-81)
1994,Los Angeles Dodgers,NL West,114,58,56,0,0.509,0.52,1st of 4,--,,532,509,2279355,28.7,30.1,35,16,K.Gross (3.9),T.Lasorda (58-56)
1995,Los Angeles Dodgers,NL West,144,78,66,0,0.542,0.518,1st of 4,--,Lost NLDS (3-0),634,609,2766251,27.4,27.8,49,21,M.Piazza (6.2),T.Lasorda (78-66)
1996,Los Angeles Dodgers,NL West,162,90,72,0,0.556,0.534,2nd of 4,1,Lost NLDS (3-0),703,652,3188454,27.9,28.3,40,15,M.Piazza (5.4),T.Lasorda (41-35) and B.Russell (49-37)
1997,Los Angeles Dodgers,NL West,162,88,74,0,0.543,0.564,2nd of 4,2,,742,645,3319504,29.3,28.9,44,16,M.Piazza (8.7),B.Russell (88-74)
1998,Los Angeles Dodgers,NL West,162,83,79,0,0.512,0.494,3rd of 5,15,,669,678,3089222,28.3,27.6,53,25,G.Sheffield (3.4),B.Russell (36-38) and G.Hoffman (47-41)
1999,Los Angeles Dodgers,NL West,162,77,85,0,0.475,0.503,3rd of 5,23,,793,787,3095346,29.2,28.6,43,21,K.Brown (5.6),D.Johnson (77-85)
2000,Los Angeles Dodgers,NL West,162,86,76,0,0.531,0.541,2nd of 5,11,,798,729,2880242,29.6,29.5,46,21,K.Brown (6.7),D.Johnson (86-76)
2001,Los Angeles Dodgers,NL West,162,86,76,0,0.531,0.509,3rd of 5,6,,758,744,3017143,30.2,30.5,41,21,S.Green (7.0),J.Tracy (86-76)
2002,Los Angeles Dodgers,NL West,162,92,70,0,0.568,0.547,3rd of 5,6,,713,643,3131255,30,31,41,19,S.Green (6.9),J.Tracy (92-70)
2003,Los Angeles Dodgers,NL West,162,85,77,0,0.525,0.515,2nd of 5,15.5,,574,556,3138626,29.9,31.2,44,19,K.Brown (4.5),J.Tracy (85-77)
2004,Los Angeles Dodgers,NL West,162,93,69,0,0.574,0.549,1st of 5,--,Lost NLDS (3-1),761,684,3488283,28.9,29.5,43,22,A.Beltré (9.6),J.Tracy (93-69)
2005,Los Angeles Dodgers,NL West,162,71,91,0,0.438,0.456,4th of 5,11,,685,755,3603646,28.7,28.5,44,20,J.Kent (3.8),J.Tracy (71-91)
2006,Los Angeles Dodgers,NL West,162,88,74,0,0.543,0.54,2nd of 5,--,Lost NLDS (3-0),820,751,3758545,29.9,30.4,50,22,D.Lowe (4.5),G.Little (88-74)
2007,Los Angeles Dodgers,NL West,162,82,80,0,0.506,0.505,4th of 5,8,,735,727,3857036,29.7,31.1,45,22,B.Penny (6.5),G.Little (82-80)
2008,Los Angeles Dodgers,NL West,162,84,78,0,0.519,0.535,1st of 5,--,Lost NLCS (4-1),700,648,3730553,28.5,29.5,46,22,C.Billingsley (4.5),J.Torre (84-78)
